Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
233,435.190,2,0,0,476.997,474.484,479.571,481.071,485.671,496.702,1,1,0,,41.807,39.294,41.807,39.294,61.512,C 
234,436.570,8,0,2,485.701,484.356,488.275,489.775,494.375,568.253,0,1,0,,49.131,47.786,49.131,47.786,131.683,C D CD 
235,438.090,0,1,1,438.090,438.090,436.476,437.976,445.076,461.433,0,0,0,,,,0.000,0.000,23.343,C D CD 
236,439.690,2,0,0,476.997,474.484,479.571,481.071,485.671,496.702,0,0,0,,,,37.307,34.794,57.012,C 
237,441.810,0,3,2,441.810,441.810,435.847,437.347,444.447,456.745,0,1,0,,0.000,0.000,0.000,0.000,14.935,C D CD 
238,442.360,8,5,2,485.701,484.356,488.275,489.775,494.375,517.389,0,0,0,,,,43.341,41.996,75.029,C 
239,444.620,8,6,2,485.701,484.356,488.275,489.775,494.375,505.405,0,0,0,,,,41.081,39.736,60.785,C 
240,445.950,0,5,1,445.950,445.950,445.950,447.450,452.050,479.401,1,1,0,,0.000,0.000,0.000,0.000,33.451,
241,447.330,0,1,1,447.330,447.330,445.950,447.450,452.050,461.433,0,0,0,,,,0.000,0.000,14.103,
242,451.230,6,0,0,459.030,456.517,461.604,463.104,467.704,496.702,0,1,0,,7.800,5.287,7.800,5.287,45.472,C D CD 
243,453.820,5,4,2,513.294,512.794,515.889,517.389,523.989,533.372,0,1,0,,59.474,58.974,59.474,58.974,79.552,C 
244,454.160,5,0,1,525.839,524.495,528.413,529.913,534.513,560.442,0,1,0,,71.679,70.335,71.679,70.335,106.282,C D HC CD 
245,455.750,5,0,1,525.839,524.495,528.413,529.913,534.513,560.442,0,0,0,,,,70.089,68.745,104.692,C D HC CD 
246,463.420,6,8,3,556.210,555.710,558.805,560.305,564.905,575.936,1,1,0,,92.790,92.290,92.790,92.290,112.516,C D HC CD 
247,468.500,1,0,2,548.196,546.218,550.770,552.270,558.870,568.253,1,1,0,,79.696,77.718,79.696,77.718,99.753,C 
248,468.710,6,3,3,473.410,471.944,476.496,477.996,482.596,494.894,0,1,0,,4.700,3.234,4.700,3.234,26.184,C 
249,471.310,5,8,1,475.327,472.814,477.901,479.401,486.001,498.299,1,1,0,,4.017,1.504,4.017,1.504,26.989,
250,475.790,4,1,2,529.277,528.777,531.872,533.372,539.972,552.270,0,1,0,,53.487,52.987,53.487,52.987,76.480,C 
251,477.280,7,0,1,510.188,509.688,512.782,514.282,518.882,560.442,0,1,0,,32.908,32.408,32.908,32.408,83.162,C 
252,484.390,0,9,5,489.128,487.150,491.702,493.202,499.802,529.785,1,1,0,,4.738,2.760,4.738,2.760,45.395,
253,488.210,5,6,0,554.209,552.864,556.782,558.282,564.882,574.266,1,1,0,,65.999,64.654,65.999,64.654,86.056,C D CD 
254,492.120,1,3,0,508.591,508.091,511.185,512.685,517.285,540.652,1,1,0,,16.471,15.971,16.471,15.971,48.532,
255,492.840,4,9,4,505.418,502.905,507.992,509.492,514.092,528.444,0,1,0,,12.578,10.065,12.578,10.065,35.604,
256,493.080,8,2,1,494.225,493.080,496.799,498.299,504.899,546.811,0,1,0,,1.145,0.000,1.145,0.000,53.731,C D CD 
257,493.820,5,0,2,513.294,512.794,515.889,517.389,523.989,568.253,0,0,0,,,,19.474,18.974,74.433,
258,494.350,0,5,0,494.350,494.350,495.202,496.702,503.302,558.282,0,1,0,,0.000,0.000,0.000,0.000,63.932,C D CD 
259,495.940,2,1,0,648.065,647.565,650.659,652.159,658.759,668.142,1,1,0,,152.125,151.625,152.125,151.625,172.202,C D HC CD 
260,496.410,0,2,5,496.410,496.410,491.702,493.202,499.802,510.833,0,0,0,,,,0.000,0.000,14.423,
261,496.980,5,6,0,554.209,552.864,556.782,558.282,564.882,574.266,0,0,0,,,,57.229,55.884,77.286,C D CD 
262,497.750,3,0,0,634.102,632.124,636.676,638.176,642.776,682.125,0,1,0,,136.352,134.374,136.352,134.374,184.375,C D HC CD 
263,504.410,3,8,3,528.617,526.639,531.191,532.691,537.291,575.936,0,1,0,,24.207,22.229,24.207,22.229,71.526,
264,510.040,7,9,0,583.154,582.654,585.749,587.249,593.849,604.880,0,0,0,,,,73.114,72.614,94.840,C 
